wavelength_nm,intensity_au
3.328048213482277333e+02,-8.626037265316742128e-04
3.329115031616871079e+02,-1.865145587875957677e-03
3.330181933802810477e+02,1.142479996156892498e-03
3.331248920011838663e+02,-1.138302738401352106e-03
3.332315990215697639e+02,-8.626037265316742128e-04
3.333383144386131107e+02,1.418179008026570391e-03
3.334450382494881069e+02,-2.861421562587112915e-04
3.335517704513690660e+02,-1.088175645334137943e-03
3.336585110414302449e+02,-1.163366284934959187e-03
3.337652600168459003e+02,-1.163366284934959187e-03
3.338720173747902891e+02,2.646292788173317586e-03
3.339787831124377249e+02,-1.539319482939065405e-03
3.340855572269625213e+02,-1.188429831468566268e-03
3.341923397155388784e+02,9.169080773544287678e-04
3.342991305753411098e+02,5.660184258839296313e-04
3.344059298035434153e+02,1.650016813462162511e-04
3.345127373973201657e+02,-1.414001750271029999e-03
3.346195533538455607e+02,2.903194140142516841e-04
3.347263776702939708e+02,-6.871589007964246446e-04
3.348332103438395393e+02,-5.618411681283892387e-04
3.349400513716566365e+02,-1.439065296804637080e-03
3.350469007509194626e+02,-5.367776215947821575e-04
3.351537584788023878e+02,-2.610786097251042103e-04
3.352606245524796122e+02,7.414632516191791995e-04
3.353674989691253927e+02,-1.858879701242829397e-04
3.354743817259140428e+02,-1.038048552266923781e-03
3.355812728200198194e+02,-2.109515166578900208e-04
3.356881722486170361e+02,-1.138302738401352106e-03
3.357950800088798928e+02,-1.263620471069387512e-03
3.359019960979827601e+02,1.368051914959356229e-03
3.360089205130997811e+02,1.568560287228212878e-03
3.361158532514053263e+02,-2.040590413611207028e-03
3.362227943100736525e+02,1.342988368425749148e-03
3.363297436862790164e+02,7.163997050855721183e-04
3.364367013771957318e+02,-3.362692493259254538e-04
3.365436673799979985e+02,-8.375401799980671316e-04
3.366506416918601303e+02,-1.163366284934959187e-03
3.367576243099564408e+02,3.404465070814658464e-04
3.368646152314611300e+02,1.067289356556071255e-03
3.369716144535484545e+02,-9.879214591997096187e-04
3.370786219733927851e+02,6.161455189511437936e-04
3.371856377881683784e+02,-2.341352972014492002e-03
3.372926618950494344e+02,3.153829605478587652e-04
3.373996942912102668e+02,-5.618411681283892387e-04
3.375067349738251323e+02,2.401923209470374946e-04
3.376137839400683447e+02,1.900652278798233322e-04
3.377208411871141607e+02,-3.550669092264043225e-05
3.378279067121367802e+02,-7.372859938636388069e-04
3.379349805123106307e+02,1.317924821892142067e-03
3.380420625848098553e+02,7.665267981527862807e-04
3.381491529268087106e+02,1.819195752564283907e-03
3.382562515354816242e+02,-1.263620471069387512e-03
3.383633584080026822e+02,1.067289356556071255e-03
3.384704735415463119e+02,-1.138302738401352106e-03
3.385775969332866566e+02,6.161455189511437936e-04
3.386847285803981435e+02,2.401923209470374946e-04
3.387918684800548590e+02,7.163997050855721183e-04
3.388990166294312303e+02,-1.357608770570687773e-04
3.390061730257014574e+02,-8.626037265316742128e-04
3.391133376660398540e+02,-5.618411681283892387e-04
3.392205105476206199e+02,7.915903446863933619e-04
3.393276916676180690e+02,-5.618411681283892387e-04
3.394348810232065148e+02,7.414632516191791995e-04
3.395420786115602141e+02,-1.288684017602994593e-03
3.396492844298533669e+02,-6.370318077292104822e-04
3.397564984752603436e+02,-2.360150631914971020e-04
3.398637207449554012e+02,9.169080773544287678e-04
3.399709512361127395e+02,-6.620953542628175634e-04
3.400781899459066722e+02,1.148745882790020752e-04
3.401854368715115129e+02,-7.372859938636388069e-04
3.402926920101014616e+02,4.657642397495012523e-04
3.403999553588508888e+02,-7.372859938636388069e-04
3.405072269149339945e+02,-1.063112098800530862e-03
3.406145066755250355e+02,9.920987169552500113e-04
3.407217946377983253e+02,4.657642397495012523e-04
3.408290907989281209e+02,-8.876672730652812940e-04
3.409363951560887358e+02,4.407006932158941711e-04
3.410437077064543701e+02,-1.238556924535780430e-03
3.411510284471993373e+02,5.158913328167154689e-04
3.412583573754979511e+02,-2.241098785880063678e-03
3.413656944885244116e+02,2.652558674806446029e-04
3.414730397834530322e+02,-1.313747564136601674e-03
3.415803932574580699e+02,1.342988368425749148e-03
3.416877549077137814e+02,-1.589446576006279567e-03
3.417951247313944805e+02,1.148745882790020752e-04
3.419025027256744238e+02,1.317924821892142067e-03
3.420098888877279251e+02,6.913361585519650371e-04
3.421172832147291842e+02,-3.362692493259254538e-04
3.422246857038524581e+02,9.169080773544287678e-04
3.423320963522721172e+02,4.407006932158941711e-04
3.424395151571623614e+02,-1.858879701242829397e-04
3.425469421156975045e+02,-1.608244235906758585e-04
3.426543772250518032e+02,9.169080773544287678e-04
3.427618204823995711e+02,-4.114598889267466974e-04
3.428692718849149514e+02,-9.377943661324954563e-04
3.429767314297723715e+02,-3.613327958595325350e-04
3.430841991141460312e+02,3.905736001486800088e-04
3.431916749352101874e+02,-2.165908146279242434e-03
3.432991588901390969e+02,1.148745882790020752e-04
3.434066509761071302e+02,-4.866505285275679409e-04
3.435141511902884872e+02,6.662726120183579560e-04
3.436216595298574816e+02,-1.764891401741529352e-03
3.437291759919883134e+02,-8.375401799980671316e-04
3.438367005738553530e+02,-1.338811110670208755e-03
3.439442332726328004e+02,4.156371466822870900e-04
3.440517740854949125e+02,-7.623495403972458881e-04
3.441593230096160596e+02,-1.858879701242829397e-04
3.442668800421704418e+02,1.067289356556071255e-03
3.443744451803323159e+02,-2.861421562587112915e-04
3.444820184212760523e+02,-1.439065296804637080e-03
3.445895997621757942e+02,2.270339590169211368e-03
3.446971892002059121e+02,7.915903446863933619e-04
3.448047867325406060e+02,1.518433194160998716e-03
3.449123923563542462e+02,-2.190971692812849515e-03
3.450200060688209760e+02,9.169080773544287678e-04
3.451276278671152227e+02,-8.626037265316742128e-04
3.452352577484111293e+02,6.161455189511437936e-04
3.453428957098830097e+02,-9.879214591997096187e-04
3.454505417487051204e+02,9.169080773544287678e-04
3.455581958620518321e+02,1.650016813462162511e-04
3.456658580470972879e+02,1.192607089224106661e-03
3.457735283010158582e+02,-4.365234354603537785e-04
3.458812066209817431e+02,9.670351704216429301e-04
3.459888930041691992e+02,-2.360150631914971020e-04
3.460965874477526540e+02,-7.372859938636388069e-04
3.462042899489061938e+02,4.156371466822870900e-04
3.463120005048041889e+02,8.667809842872146054e-04
3.464197191126208963e+02,4.908277862831083877e-04
3.465274457695306296e+02,8.417174377536075242e-04
3.466351804727075319e+02,-6.119682611956034010e-04
3.467429232193260304e+02,-8.563378398985460138e-05
3.468506740065603253e+02,-1.589446576006279567e-03
3.469584328315846733e+02,1.900652278798233322e-04
3.470661996915733880e+02,5.409548793503225501e-04
3.471739745837007263e+02,5.660184258839296313e-04
3.472817575051409449e+02,-1.439065296804637080e-03
3.473895484530683575e+02,1.650016813462162511e-04
3.474973474246572209e+02,-1.564383029472672486e-03
3.476051544170817351e+02,-1.213493378002173349e-03
3.477129694275162706e+02,2.401923209470374946e-04
3.478207924531350841e+02,1.142479996156892498e-03
3.479286234911124325e+02,-1.865145587875957677e-03
3.480364625386225725e+02,5.910819724175367124e-04
3.481443095928397611e+02,4.156371466822870900e-04
3.482521646509383686e+02,8.667809842872146054e-04
3.483600277100925382e+02,-8.626037265316742128e-04
3.484678987674766404e+02,-6.057023745624751343e-05
3.485757778202649320e+02,1.462040214457373858e-05
3.486836648656316129e+02,5.158913328167154689e-04
3.487915599007510536e+02,3.655100536150729276e-04
3.488994629227975111e+02,5.409548793503225501e-04
3.490073739289451851e+02,7.414632516191791995e-04
3.491152929163683893e+02,3.968394867818082484e-05
3.492232198822414375e+02,1.067289356556071255e-03
3.493311548237385296e+02,-1.815018494808743514e-03
3.494390977380340360e+02,-1.138302738401352106e-03
3.495470486223020998e+02,-7.623495403972458881e-04
3.496550074737170917e+02,-9.879214591997096187e-04
3.497629742894532683e+02,-1.288684017602994593e-03
3.498709490666849433e+02,2.151287744134304134e-04
3.499789318025862599e+02,6.662726120183579560e-04
3.500869224943315885e+02,-5.367776215947821575e-04
3.501949211390952428e+02,-8.876672730652812940e-04
3.503029277340513659e+02,-1.489192389871851242e-03
3.504109422763743282e+02,4.657642397495012523e-04
3.505189647632383867e+02,1.462040214457373858e-05
3.506269951918177981e+02,4.156371466822870900e-04
3.507350335592868191e+02,-1.858879701242829397e-04
3.508430798628197635e+02,6.913361585519650371e-04
3.509511340995908881e+02,-8.375401799980671316e-04
3.510591962667745065e+02,-1.263620471069387512e-03
3.511672663615447618e+02,-2.360150631914971020e-04
3.512753443810760814e+02,-4.114598889267466974e-04
3.513834303225426652e+02,-2.040590413611207028e-03
3.514915241831187700e+02,5.910819724175367124e-04
3.515996259599787095e+02,2.652558674806446029e-04
3.517077356502967405e+02,-1.044314438903334599e-05
3.518158532512471197e+02,-1.439065296804637080e-03
3.519239787600041041e+02,8.918445308208216866e-04
3.520321121737420640e+02,-1.363874657203815836e-03
3.521402534896351426e+02,-6.370318077292104822e-04
3.522484027048577104e+02,-1.338811110670208755e-03
3.523565598165840242e+02,8.667809842872146054e-04
3.524647248219883409e+02,-4.866505285275679409e-04
3.525728977182449171e+02,1.568560287228212878e-03
3.526810785025280097e+02,-1.163366284934959187e-03
3.527892671720119324e+02,-2.360150631914971020e-04
3.528974637238709988e+02,-1.012985005733316700e-03
3.530056681552794089e+02,-1.608244235906758585e-04
3.531138804634114194e+02,3.905736001486800088e-04
3.532221006454413441e+02,1.142479996156892498e-03
3.533303286985434966e+02,-1.357608770570687773e-04
3.534385646198920767e+02,3.153829605478587652e-04
3.535468084066613983e+02,-7.122224473300317257e-04
3.536550600560257749e+02,5.158913328167154689e-04
3.537633195651593496e+02,5.409548793503225501e-04
3.538715869312365498e+02,-1.363874657203815836e-03
3.539798621514315187e+02,6.474749521178791280e-05
3.540881452229185697e+02,-3.362692493259254538e-04
3.541964361428720167e+02,-1.263620471069387512e-03
3.543047349084661164e+02,7.915903446863933619e-04
3.544130415168751256e+02,-2.610786097251042103e-04
3.545213559652733579e+02,1.399381348126091699e-04
3.546296782508350134e+02,-3.550669092264043225e-05
3.547380083707344056e+02,1.668814473362641420e-03
3.548463463221457914e+02,-1.338811110670208755e-03
3.549546921022434844e+02,6.161455189511437936e-04
3.550630457082017415e+02,-3.863963423931396162e-04
3.551714071371948194e+02,3.153829605478587652e-04
3.552797763863969749e+02,-1.664637215607101027e-03
3.553881534529825217e+02,-1.589446576006279567e-03
3.554965383341257166e+02,-2.610786097251042103e-04
3.556049310270008164e+02,3.905736001486800088e-04
3.557133315287820778e+02,3.153829605478587652e-04
3.558217398366438715e+02,1.568560287228212878e-03
3.559301559477603405e+02,-8.626037265316742128e-04
3.560385798593058553e+02,1.468306101093784554e-03
3.561470115684546727e+02,-8.876672730652812940e-04
3.562554510723810495e+02,1.317924821892142067e-03
3.563638983682592425e+02,6.474749521178791280e-05
3.564723534532635085e+02,-6.620953542628175634e-04
3.565808163245681612e+02,3.968394867818082484e-05
3.566892869793475143e+02,-8.124766334644600504e-04
3.567977654147757676e+02,-1.263620471069387512e-03
3.569062516280271780e+02,1.292861275358534985e-03
3.570147456162761159e+02,-1.564383029472672486e-03
3.571232473766967246e+02,1.593623833761819960e-03
3.572317569064634313e+02,-1.539319482939065405e-03
3.573402742027503791e+02,6.474749521178791280e-05
3.574487992627318818e+02,-6.871589007964246446e-04
3.575573320835821960e+02,-4.615869819939608597e-04
3.576658726624756923e+02,-1.088175645334137943e-03
3.577744209965865139e+02,1.117416449623285417e-03
3.578829770830890311e+02,-1.608244235906758585e-04
3.579915409191574440e+02,1.650016813462162511e-04
3.581001125019660094e+02,-1.639573669073493946e-03
3.582086918286890977e+02,1.443242554560177473e-03
3.583172788965009659e+02,9.419716238880358489e-04
3.584258737025758137e+02,-1.044314438903334599e-05
3.585344762440879549e+02,-3.550669092264043225e-05
3.586430865182116463e+02,1.317924821892142067e-03
3.587517045221212015e+02,2.652558674806446029e-04
3.588603302529908774e+02,3.404465070814658464e-04
3.589689637079949307e+02,-1.739827855207922271e-03
3.590776048843076182e+02,-4.615869819939608597e-04
3.591862537791032537e+02,-1.163366284934959187e-03
3.592949103895560938e+02,2.094894764433961800e-03
3.594035747128403955e+02,2.652558674806446029e-04
3.595122467461304154e+02,4.407006932158941711e-04
3.596209264866005242e+02,-2.861421562587112915e-04
3.597296139314248649e+02,-3.362692493259254538e-04
3.598383090777778079e+02,-1.106973305234616826e-04
3.599470119228336102e+02,-7.122224473300317257e-04
3.600557224637665286e+02,6.474749521178791280e-05
3.601644406977508197e+02,-7.122224473300317257e-04
3.602731666219607405e+02,1.650016813462162511e-04
3.603819002335706045e+02,3.905736001486800088e-04
3.604906415297547255e+02,-1.163366284934959187e-03
3.605993905076872466e+02,-6.057023745624751343e-05
3.607081471645425950e+02,1.399381348126091699e-04
3.608169114974949139e+02,-3.613327958595325350e-04
3.609256835037185738e+02,-2.861421562587112915e-04
3.610344631803877746e+02,-2.441607158148920761e-03
3.611432505246768301e+02,-8.626037265316742128e-04
3.612520455337599969e+02,3.153829605478587652e-04
